,qasrl_id,verb_idx,verb,question,answer,answer_range,verb_form,wh,aux,subj,obj,prep,obj2,is_negated,is_passive,sentence,key
20,Wiki1k:wikinews:1329850:0:0,2,teacher,where did someone teach?,"at the secondary school~!~Leeds, West Yorkshire, England",9:13~!~17:23,teach,where,did,someone,_,_,_,False,,"A female teacher was fatally stabbed late Monday morning at the secondary school she taught in at Leeds , West Yorkshire , England , in front of students .",Wiki1k:wikinews:1329850:0:0_2
21,Wiki1k:wikinews:1329850:0:0,2,teacher,where did someone teach?,in front of students,24:28,teach,where,did,someone,_,_,_,False,,"A female teacher was fatally stabbed late Monday morning at the secondary school she taught in at Leeds , West Yorkshire , England , in front of students .",Wiki1k:wikinews:1329850:0:0_2
63,Wiki1k:wikinews:1447627:4:0,11,competition,where did someone compete in something?,Summer Paralympics,4:6,compete,where,did,someone,_,in,something,False,,"Absent from the 2012 Summer Paralympics , the last major international competition the team competed in was the 2010 Goalball World Championships in Sheffield , England where the team finished fifth .",Wiki1k:wikinews:1447627:4:0_11
66,Wiki1k:wikinews:1447627:4:0,11,competition,where did someone compete in something?,"Sheffield, England",23:26,compete,where,did,someone,_,in,something,False,,"Absent from the 2012 Summer Paralympics , the last major international competition the team competed in was the 2010 Goalball World Championships in Sheffield , England where the team finished fifth .",Wiki1k:wikinews:1447627:4:0_11
167,Wiki1k:wikinews:1435038:1:1,22,jail,when was someone jailed?,March 2007,17:19,jailed,when,was,someone,_,_,_,False,,"Connections were drawn between Coleman and Jacksonville Police Officer Larry Pugh , who was later sentenced in March 2007 to a twelve-year jail term for sex assault while on duty and retaliation against a witness .",Wiki1k:wikinews:1435038:1:1_22
169,Wiki1k:wikinews:1435038:1:1,22,jail,when was someone jailed?,while on duty,29:32,jailed,when,was,someone,_,_,_,False,,"Connections were drawn between Coleman and Jacksonville Police Officer Larry Pugh , who was later sentenced in March 2007 to a twelve-year jail term for sex assault while on duty and retaliation against a witness .",Wiki1k:wikinews:1435038:1:1_22
361,Wiki1k:wikinews:1538518:1:1,4,lead,when did someone lead?,early,3:4,lead,when,did,someone,_,_,_,False,,Noosa took an early lead after eleven minutes through an unconverted try .,Wiki1k:wikinews:1538518:1:1_4
362,Wiki1k:wikinews:1538518:1:1,4,lead,when did someone lead?,after eleven minutes through an unconverted try,5:12,lead,when,did,someone,_,_,_,False,,Noosa took an early lead after eleven minutes through an unconverted try .,Wiki1k:wikinews:1538518:1:1_4
369,Wiki1k:wikinews:1140689:0:0,6,pollution,where did someone pollute something?,France,2:3,pollute,where,did,someone,something,_,_,False,,"Officials in France have issued a pollution alert after an unladen freighter grounded on a breakwater at Anglet , Basque yesterday .",Wiki1k:wikinews:1140689:0:0_6
370,Wiki1k:wikinews:1140689:0:0,6,pollution,when did someone pollute something?,after an unladen freighter grounded on a breakwater,8:16,pollute,when,did,someone,something,_,_,False,,"Officials in France have issued a pollution alert after an unladen freighter grounded on a breakwater at Anglet , Basque yesterday .",Wiki1k:wikinews:1140689:0:0_6
371,Wiki1k:wikinews:1140689:0:0,6,pollution,where did someone pollute something?,"Anglet, Basque",17:20,pollute,where,did,someone,something,_,_,False,,"Officials in France have issued a pollution alert after an unladen freighter grounded on a breakwater at Anglet , Basque yesterday .",Wiki1k:wikinews:1140689:0:0_6
372,Wiki1k:wikinews:1140689:0:0,6,pollution,when did someone pollute something?,yesterday,20:21,pollute,when,did,someone,something,_,_,False,,"Officials in France have issued a pollution alert after an unladen freighter grounded on a breakwater at Anglet , Basque yesterday .",Wiki1k:wikinews:1140689:0:0_6
374,Wiki1k:wikinews:1140689:0:0,7,alert,where did someone alert someone?,France,2:3,alert,where,did,someone,someone,_,_,False,,"Officials in France have issued a pollution alert after an unladen freighter grounded on a breakwater at Anglet , Basque yesterday .",Wiki1k:wikinews:1140689:0:0_7
376,Wiki1k:wikinews:1140689:0:0,7,alert,when did someone alert someone?,after an unladen freighter grounded on a breakwater,8:16,alert,when,did,someone,someone,_,_,False,,"Officials in France have issued a pollution alert after an unladen freighter grounded on a breakwater at Anglet , Basque yesterday .",Wiki1k:wikinews:1140689:0:0_7
377,Wiki1k:wikinews:1140689:0:0,7,alert,where did someone alert someone?,"Anglet, Basque",17:20,alert,where,did,someone,someone,_,_,False,,"Officials in France have issued a pollution alert after an unladen freighter grounded on a breakwater at Anglet , Basque yesterday .",Wiki1k:wikinews:1140689:0:0_7
378,Wiki1k:wikinews:1140689:0:0,7,alert,when did someone alert someone?,yesterday,20:21,alert,when,did,someone,someone,_,_,False,,"Officials in France have issued a pollution alert after an unladen freighter grounded on a breakwater at Anglet , Basque yesterday .",Wiki1k:wikinews:1140689:0:0_7
398,Wiki1k:wikinews:1491471:1:0,15,firing,who fired?,a citizen of Pakistan,6:10,fired,who,_,_,_,_,_,False,,"On Sunday , July 20 , a citizen of Pakistan was killed in a cross-border firing by India 's BSF .",Wiki1k:wikinews:1491471:1:0_15
400,Wiki1k:wikinews:1491471:1:0,15,firing,who fired?,BSF~!~India,21:22~!~19:20,fired,who,_,_,_,_,_,False,,"On Sunday , July 20 , a citizen of Pakistan was killed in a cross-border firing by India 's BSF .",Wiki1k:wikinews:1491471:1:0_15
436,Wiki1k:wikinews:1490033:0:0,5,names,when was something named?,every year,9:11,named,when,was,something,_,_,_,False,,"RBI is to reveal the names of the banks every year in August , starting from 2015 .",Wiki1k:wikinews:1490033:0:0_5
437,Wiki1k:wikinews:1490033:0:0,5,names,when was something named?,starting from 2015,14:17,named,when,was,something,_,_,_,False,,"RBI is to reveal the names of the banks every year in August , starting from 2015 .",Wiki1k:wikinews:1490033:0:0_5
483,Wiki1k:wikinews:1498647:0:0,38,wins,what did someone win?,NASCAR Sprint Cup Series season,14:19,win,what,did,someone,_,_,_,False,,"Starting the race in second , Gordon won his second race of the 2014 NASCAR Sprint Cup Series season , and his fifth at the track , breaking a tie with teammate Jimmie Johnson for the most event wins , while tying Formula One driver Michael Schumacher for the most wins at the track .",Wiki1k:wikinews:1498647:0:0_38
484,Wiki1k:wikinews:1498647:0:0,38,wins,what did someone win?,event,37:38,win,what,did,someone,_,_,_,False,,"Starting the race in second , Gordon won his second race of the 2014 NASCAR Sprint Cup Series season , and his fifth at the track , breaking a tie with teammate Jimmie Johnson for the most event wins , while tying Formula One driver Michael Schumacher for the most wins at the track .",Wiki1k:wikinews:1498647:0:0_38
487,Wiki1k:wikinews:1773445:3:0,5,Test,when was someone tested somewhere?,New Year's Test,2:6,tested,when,was,someone,_,_,somewhere,False,,Sydney 's New Year 's Test has been delayed to begin January 6 .,Wiki1k:wikinews:1773445:3:0_5
488,Wiki1k:wikinews:1773445:3:0,5,Test,when was someone tested somewhere?,January 6,11:13,tested,when,was,someone,_,_,somewhere,False,,Sydney 's New Year 's Test has been delayed to begin January 6 .,Wiki1k:wikinews:1773445:3:0_5
492,Wiki1k:wikinews:1140689:1:2,22,load,what might load something?,The 100-metre ship,0:5,load,what,might,_,something,_,_,False,,The 100-metre ship was en route to pick up its usual fertiliser cargo and initially officials feared the vessel could spill a load .,Wiki1k:wikinews:1140689:1:2_22
494,Wiki1k:wikinews:1140689:1:2,22,load,what might load something?,the vessel,19:21,load,what,might,_,something,_,_,False,,The 100-metre ship was en route to pick up its usual fertiliser cargo and initially officials feared the vessel could spill a load .,Wiki1k:wikinews:1140689:1:2_22
520,Wiki1k:wikinews:1527142:0:0,22,asphyxiation,who was asphyxiated?,Robin Williams~!~The US comedy actor,4:6~!~0:4,asphyxiated,who,was,_,_,_,_,False,,"The US comedy actor Robin Williams was found dead yesterday by the Marin County , California Sheriff 's Office , apparently by asphyxiation .",Wiki1k:wikinews:1527142:0:0_22
522,Wiki1k:wikinews:1527142:0:0,22,asphyxiation,who was asphyxiated?,"the Marin County, California Sheriff's Office",11:19,asphyxiated,who,was,_,_,_,_,False,,"The US comedy actor Robin Williams was found dead yesterday by the Marin County , California Sheriff 's Office , apparently by asphyxiation .",Wiki1k:wikinews:1527142:0:0_22
